Eintrag_ID;Datum;Kunde;Ort;Eintragsart;Inhalt_Auszug;Angelegt_von;MA_Score
CRM-1237;02.07.2023;Pfinztal Elektronik GmbH;Pfinztal;Kontaktnotiz;Telefonat Zahlungsziel Rechnung;m.denzlinger;
CRM-Q20232;15.07.2023;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1240;21.07.2023;Murgblick Papierwerke GmbH;Gernsbach;Kontaktnotiz;Vorbereitung Messetermin;m.denzlinger;
CRM-1243;09.08.2023;Kraichgau Agrarhandel eG;Bretten;Kontaktnotiz;Telefonat Vertragsverlaengerung Wartungsmodul;m.denzlinger;
CRM-1246;01.09.2023;Fasanengarten Software GmbH;Karlsruhe;Kontaktnotiz;Vor-Ort-Termin Praesentation Release 8;m.denzlinger;
CRM-1249;20.09.2023;Bruchsaler Pumpenbau GmbH;Bruchsal;Kontaktnotiz;Angebot Lizenzerweiterung versandt;m.denzlinger;
CRM-1252;09.10.2023;Durlacher Praezisionsteile GmbH;Karlsruhe;Kontaktnotiz;Eskalationsgespraech Ticketlaufzeiten;m.denzlinger;
CRM-Q20233;15.10.2023;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1255;01.11.2023;Badenwerk Kunststofftechnik GmbH;Rastatt;Kontaktnotiz;Telefonat Preisanpassung 2025;m.denzlinger;
CRM-1258;20.11.2023;Silberburg Logistik AG;Stuttgart;Kontaktnotiz;Demo-Termin Modul Lagersteuerung;m.denzlinger;
CRM-1261;09.12.2023;Hardtwald Maschinenbau GmbH;Eggenstein;Kontaktnotiz;Nachfassen Angebot per E-Mail;m.denzlinger;
CRM-1264;01.01.2024;Rheinstrand Chemie GmbH;Woerth;Kontaktnotiz;Jahresgespraech mit Einkaufsleitung;m.denzlinger;
CRM-1267;20.01.2024;Turmquell Getraenke GmbH;Ettlingen;Kontaktnotiz;Telefonat Zahlungsziel Rechnung;m.denzlinger;
CRM-Q20234;20.01.2024;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 3 von 5;o.steinbeis;3
CRM-1270;08.02.2024;Albgruen Medizintechnik AG;Karlsruhe;Kontaktnotiz;Vorbereitung Messetermin;m.denzlinger;
CRM-1273;02.03.2024;Pfinztal Elektronik GmbH;Pfinztal;Kontaktnotiz;Telefonat Vertragsverlaengerung Wartungsmodul;m.denzlinger;
CRM-1276;21.03.2024;Murgblick Papierwerke GmbH;Gernsbach;Kontaktnotiz;Vor-Ort-Termin Praesentation Release 8;m.denzlinger;
CRM-1279;09.04.2024;Kraichgau Agrarhandel eG;Bretten;Kontaktnotiz;Angebot Lizenzerweiterung versandt;m.denzlinger;
CRM-Q20241;15.04.2024;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1282;02.05.2024;Fasanengarten Software GmbH;Karlsruhe;Kontaktnotiz;Eskalationsgespraech Ticketlaufzeiten;m.denzlinger;
CRM-1285;21.05.2024;Bruchsaler Pumpenbau GmbH;Bruchsal;Kontaktnotiz;Telefonat Preisanpassung 2025;m.denzlinger;
CRM-1288;09.06.2024;Durlacher Praezisionsteile GmbH;Karlsruhe;Kontaktnotiz;Demo-Termin Modul Lagersteuerung;m.denzlinger;
CRM-1291;02.07.2024;Badenwerk Kunststofftechnik GmbH;Rastatt;Kontaktnotiz;Nachfassen Angebot per E-Mail;m.denzlinger;
CRM-Q20242;15.07.2024;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1294;21.07.2024;Silberburg Logistik AG;Stuttgart;Kontaktnotiz;Jahresgespraech mit Einkaufsleitung;m.denzlinger;
CRM-1297;09.08.2024;Hardtwald Maschinenbau GmbH;Eggenstein;Kontaktnotiz;Telefonat Zahlungsziel Rechnung;m.denzlinger;
CRM-1300;01.09.2024;Rheinstrand Chemie GmbH;Woerth;Kontaktnotiz;Vorbereitung Messetermin;m.denzlinger;
CRM-1303;20.09.2024;Turmquell Getraenke GmbH;Ettlingen;Kontaktnotiz;Telefonat Vertragsverlaengerung Wartungsmodul;m.denzlinger;
CRM-1306;09.10.2024;Albgruen Medizintechnik AG;Karlsruhe;Kontaktnotiz;Vor-Ort-Termin Praesentation Release 8;m.denzlinger;
CRM-Q20243;15.10.2024;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 1 von 5;o.steinbeis;1
CRM-1309;01.11.2024;Pfinztal Elektronik GmbH;Pfinztal;Kontaktnotiz;Angebot Lizenzerweiterung versandt;m.denzlinger;
CRM-1312;20.11.2024;Murgblick Papierwerke GmbH;Gernsbach;Kontaktnotiz;Eskalationsgespraech Ticketlaufzeiten;m.denzlinger;
CRM-1315;09.12.2024;Kraichgau Agrarhandel eG;Bretten;Kontaktnotiz;Telefonat Preisanpassung 2025;m.denzlinger;
CRM-1318;01.01.2025;Fasanengarten Software GmbH;Karlsruhe;Kontaktnotiz;Demo-Termin Modul Lagersteuerung;m.denzlinger;
CRM-1321;20.01.2025;Bruchsaler Pumpenbau GmbH;Bruchsal;Kontaktnotiz;Nachfassen Angebot per E-Mail;m.denzlinger;
CRM-Q20244;20.01.2025;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1324;08.02.2025;Durlacher Praezisionsteile GmbH;Karlsruhe;Kontaktnotiz;Jahresgespraech mit Einkaufsleitung;m.denzlinger;
CRM-1327;03.03.2025;Badenwerk Kunststofftechnik GmbH;Rastatt;Kontaktnotiz;Telefonat Zahlungsziel Rechnung;m.denzlinger;
CRM-1330;22.03.2025;Silberburg Logistik AG;Stuttgart;Kontaktnotiz;Vorbereitung Messetermin;m.denzlinger;
CRM-1333;10.04.2025;Hardtwald Maschinenbau GmbH;Eggenstein;Kontaktnotiz;Telefonat Vertragsverlaengerung Wartungsmodul;m.denzlinger;
CRM-Q20251;15.04.2025;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 2 von 5;o.steinbeis;2
CRM-1336;03.05.2025;Rheinstrand Chemie GmbH;Woerth;Kontaktnotiz;Vor-Ort-Termin Praesentation Release 8;m.denzlinger;
CRM-1339;22.05.2025;Turmquell Getraenke GmbH;Ettlingen;Kontaktnotiz;Angebot Lizenzerweiterung versandt;m.denzlinger;
CRM-1342;10.06.2025;Albgruen Medizintechnik AG;Karlsruhe;Kontaktnotiz;Eskalationsgespraech Ticketlaufzeiten;m.denzlinger;
CRM-1345;03.07.2025;Pfinztal Elektronik GmbH;Pfinztal;Kontaktnotiz;Telefonat Preisanpassung 2025;m.denzlinger;
CRM-Q20252;15.07.2025;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 1 von 5;o.steinbeis;1
CRM-1348;22.07.2025;Murgblick Papierwerke GmbH;Gernsbach;Kontaktnotiz;Demo-Termin Modul Lagersteuerung;m.denzlinger;
CRM-1351;10.08.2025;Kraichgau Agrarhandel eG;Bretten;Kontaktnotiz;Nachfassen Angebot per E-Mail;m.denzlinger;
CRM-1354;02.09.2025;Fasanengarten Software GmbH;Karlsruhe;Kontaktnotiz;Jahresgespraech mit Einkaufsleitung;m.denzlinger;
CRM-1357;21.09.2025;Bruchsaler Pumpenbau GmbH;Bruchsal;Kontaktnotiz;Telefonat Zahlungsziel Rechnung;m.denzlinger;
CRM-1360;10.10.2025;Durlacher Praezisionsteile GmbH;Karlsruhe;Kontaktnotiz;Vorbereitung Messetermin;m.denzlinger;
CRM-Q20253;15.10.2025;-;-;Quartalsbewertung Vertrieb;Leistungs-Score Aussendienst Gebiet Nordbaden: 1 von 5;o.steinbeis;1
CRM-1363;02.11.2025;Badenwerk Kunststofftechnik GmbH;Rastatt;Kontaktnotiz;Telefonat Vertragsverlaengerung Wartungsmodul;m.denzlinger;
CRM-1366;21.11.2025;Silberburg Logistik AG;Stuttgart;Kontaktnotiz;Vor-Ort-Termin Praesentation Release 8;m.denzlinger;
CRM-1369;10.12.2025;Hardtwald Maschinenbau GmbH;Eggenstein;Kontaktnotiz;Angebot Lizenzerweiterung versandt;m.denzlinger;
CRM-1372;02.01.2026;Rheinstrand Chemie GmbH;Woerth;Kontaktnotiz;Eskalationsgespraech Ticketlaufzeiten;m.denzlinger;
