Massnahme_ID;Datum;Agent_ID;Ausloesender_Alert;Kategorie;Angeordnet_von;Kurzbeschreibung
M-0038;08.12.2025;AGT-0104;AL-0054;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0041;08.12.2025;AGT-0116;AL-0057;Schichtkuerzung;Struckmeier, Pascal;Reduzierung der Schichtstunden im Folgemonat
M-0039;09.12.2025;AGT-0116;AL-0055;Zielvereinbarung Gespraechskennzahlen;Ohlsen, Verena;Schriftliche Zielvereinbarung zu AHT und Tonalitaet
M-0040;09.12.2025;AGT-0108;AL-0056;Team-Coaching Gespraechsfuehrung;Struckmeier, Pascal;Teilnahme am Gruppen-Coaching Gespraechsfuehrung
M-0042;15.12.2025;AGT-0122;AL-0062;Abmahnung;Radeke, Timo;Abmahnung wegen wiederholt negativer Emotions- und Tonalitaetswerte
M-0043;21.12.2025;AGT-0107;AL-0066;Zielvereinbarung Gespraechskennzahlen;Radeke, Timo;Schriftliche Zielvereinbarung zu AHT und Tonalitaet
M-0044;23.12.2025;AGT-0112;AL-0067;Schichtkuerzung;Radeke, Timo;Reduzierung der Schichtstunden im Folgemonat
M-0047;26.12.2025;AGT-0125;AL-0070;Leistungsgespraech;Ohlsen, Verena;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0045;27.12.2025;AGT-0113;AL-0068;Schichtkuerzung;Ohlsen, Verena;Reduzierung der Schichtstunden im Folgemonat
M-0048;27.12.2025;AGT-0108;AL-0071;Schichtkuerzung;Ohlsen, Verena;Reduzierung der Schichtstunden im Folgemonat
M-0046;28.12.2025;AGT-0116;AL-0069;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0049;01.01.2026;AGT-0111;AL-0073;Zielvereinbarung Gespraechskennzahlen;Ohlsen, Verena;Schriftliche Zielvereinbarung zu AHT und Tonalitaet
M-0052;01.01.2026;AGT-0110;AL-0076;Leistungsgespraech;Ohlsen, Verena;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0053;03.01.2026;AGT-0113;AL-0077;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0050;04.01.2026;AGT-0118;AL-0074;Leistungsgespraech;Ohlsen, Verena;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0051;04.01.2026;AGT-0109;AL-0075;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0054;06.01.2026;AGT-0101;AL-0078;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0055;09.01.2026;AGT-0111;AL-0081;Leistungsgespraech;Ohlsen, Verena;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0056;10.01.2026;AGT-0111;AL-0082;Entlastungspause angeordnet;Ohlsen, Verena;Zusaetzliche Kurzpause im laufenden Dienst
M-0057;12.01.2026;AGT-0117;AL-0083;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0058;19.01.2026;AGT-0108;AL-0085;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0059;19.01.2026;AGT-0120;AL-0088;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0060;24.01.2026;AGT-0118;AL-0089;Team-Coaching Gespraechsfuehrung;Struckmeier, Pascal;Teilnahme am Gruppen-Coaching Gespraechsfuehrung
M-0063;25.01.2026;AGT-0105;AL-0094;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0062;26.01.2026;AGT-0121;AL-0093;Zielvereinbarung Gespraechskennzahlen;Radeke, Timo;Schriftliche Zielvereinbarung zu AHT und Tonalitaet
M-0061;27.01.2026;AGT-0123;AL-0092;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0064;28.01.2026;AGT-0117;AL-0095;Abmahnung;Radeke, Timo;Abmahnung wegen wiederholt negativer Emotions- und Tonalitaetswerte
M-0065;29.01.2026;AGT-0122;AL-0096;Empfehlung Betriebsarzt;Ohlsen, Verena;Empfehlung einer Vorstellung beim Betriebsarzt
M-0066;01.02.2026;AGT-0124;AL-0099;Empfehlung Betriebsarzt;Ohlsen, Verena;Empfehlung einer Vorstellung beim Betriebsarzt
M-0067;03.02.2026;AGT-0107;AL-0100;Schichtkuerzung;Struckmeier, Pascal;Reduzierung der Schichtstunden im Folgemonat
M-0068;06.02.2026;AGT-0108;AL-0102;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0069;07.02.2026;AGT-0109;AL-0103;Team-Coaching Gespraechsfuehrung;Struckmeier, Pascal;Teilnahme am Gruppen-Coaching Gespraechsfuehrung
M-0070;11.02.2026;AGT-0106;AL-0104;Leistungsgespraech;Ohlsen, Verena;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0072;14.02.2026;AGT-0103;AL-0107;Entlastungspause angeordnet;Radeke, Timo;Zusaetzliche Kurzpause im laufenden Dienst
M-0071;15.02.2026;AGT-0101;AL-0106;Empfehlung Betriebsarzt;Ohlsen, Verena;Empfehlung einer Vorstellung beim Betriebsarzt
M-0074;20.02.2026;AGT-0111;AL-0110;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0076;21.02.2026;AGT-0114;AL-0112;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0073;22.02.2026;AGT-0125;AL-0109;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0075;22.02.2026;AGT-0119;AL-0111;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0077;25.02.2026;AGT-0112;AL-0113;Leistungsgespraech;Struckmeier, Pascal;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0080;27.02.2026;AGT-0109;AL-0118;Zielvereinbarung Gespraechskennzahlen;Ohlsen, Verena;Schriftliche Zielvereinbarung zu AHT und Tonalitaet
M-0078;28.02.2026;AGT-0110;AL-0115;Leistungsgespraech;Radeke, Timo;Gespraech ueber Gespraechsverhalten und Kennzahlen nach VoiceMood-Alert
M-0079;01.03.2026;AGT-0112;AL-0116;Empfehlung Betriebsarzt;Struckmeier, Pascal;Empfehlung einer Vorstellung beim Betriebsarzt
