Stichtag;Konto;Personenkonto;Name;Land;Beleg;Rechnungsdatum;Faelligkeit;Waehrung;Netto_Rechnung_EUR;USt_Satz_Prozent;USt_Rechnung_EUR;Brutto_Rechnung_EUR;Bis_Stichtag_bezahlt_EUR;Offen_Brutto_EUR;Vermerk
2024-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-24-05-03;2024-10-22;2024-11-21;EUR;15.625,00;19;2.968,75;18.593,75;3.718,75;14.875,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-24-06-01;2024-12-23;2025-01-22;EUR;17.500,00;19;3.325,00;20.825,00;4.165,00;16.660,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-24-06-02;2024-10-24;2024-11-23;EUR;15.312,50;19;2.909,38;18.221,88;3.644,38;14.577,50;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-24-06-03;2024-11-25;2024-12-25;EUR;10.937,50;19;2.078,12;13.015,62;2.603,12;10.412,50;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-24-07-01;2024-10-08;2024-11-07;EUR;10.000,00;19;1.900,00;11.900,00;2.380,00;9.520,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-24-07-02;2024-11-09;2024-12-09;EUR;8.750,00;19;1.662,50;10.412,50;2.082,50;8.330,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-24-07-03;2024-12-10;2025-01-09;EUR;6.250,00;19;1.187,50;7.437,50;1.487,50;5.950,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-24-08-01;2024-11-11;2024-12-11;EUR;58.434,58;7;4.090,42;62.525,00;12.505,00;50.020,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-24-08-02;2024-12-12;2025-01-11;EUR;51.130,26;7;3.579,12;54.709,38;10.941,88;43.767,50;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-24-08-03;2024-10-13;2024-11-12;EUR;36.521,61;7;2.556,51;39.078,12;7.815,62;31.262,50;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70001;AndenSaat Export S.A.C.;Peru;AS-25-1104;2025-11-04;2025-12-07;EUR;310.000,00;0;0,00;310.000,00;0,00;310.000,00;"65.000 EUR Zahlung erst 08.01.2026; Ratenvorschlag nicht bestätigt; Anzahlungen separat"
2025-12-31;3300;70002;Cordillera Frucht SpA;Chile;EK-25-02-01;2025-11-11;2025-12-11;EUR;180.000,00;0;0,00;180.000,00;0,00;180.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-25-03-01;2025-12-14;2026-01-13;EUR;92.500,00;0;0,00;92.500,00;18.500,00;74.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-25-03-02;2025-10-15;2025-11-14;EUR;80.937,50;0;0,00;80.937,50;16.187,50;64.750,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-25-03-03;2025-11-16;2025-12-16;EUR;57.812,50;0;0,00;57.812,50;11.562,50;46.250,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-25-04-01;2025-10-17;2025-11-16;EUR;70.000,00;0;0,00;70.000,00;14.000,00;56.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-25-04-02;2025-11-18;2025-12-18;EUR;61.250,00;0;0,00;61.250,00;12.250,00;49.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-25-04-03;2025-12-19;2026-01-18;EUR;43.750,00;0;0,00;43.750,00;8.750,00;35.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-25-05-01;2025-11-20;2025-12-20;EUR;50.000,00;19;9.500,00;59.500,00;11.900,00;47.600,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-25-05-02;2025-12-21;2026-01-20;EUR;43.750,00;19;8.312,50;52.062,50;10.412,50;41.650,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-25-05-03;2025-10-22;2025-11-21;EUR;31.250,00;19;5.937,50;37.187,50;7.437,50;29.750,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-25-06-01;2025-12-23;2026-01-22;EUR;35.000,00;19;6.650,00;41.650,00;8.330,00;33.320,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-25-06-02;2025-10-24;2025-11-23;EUR;30.625,00;19;5.818,75;36.443,75;7.288,75;29.155,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70006;Ladewerk Transport GmbH;Deutschland;EK-25-06-03;2025-11-25;2025-12-25;EUR;21.875,00;19;4.156,25;26.031,25;5.206,25;20.825,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-25-07-01;2025-10-08;2025-11-07;EUR;15.000,00;19;2.850,00;17.850,00;3.570,00;14.280,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-25-07-02;2025-11-09;2025-12-09;EUR;13.125,00;19;2.493,75;15.618,75;3.123,75;12.495,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70007;Vellaris Labor GmbH;Deutschland;EK-25-07-03;2025-12-10;2026-01-09;EUR;9.375,00;19;1.781,25;11.156,25;2.231,25;8.925,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-25-08-01;2025-11-11;2025-12-11;EUR;185.514,02;7;12.985,98;198.500,00;39.700,00;158.800,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-25-08-02;2025-12-12;2026-01-11;EUR;162.324,77;7;11.362,73;173.687,50;34.737,50;138.950,00;"Unbeanstandet; Zahlung nicht eingegangen"
2025-12-31;3300;70008;Ackerbogen Mühle GmbH;Deutschland;EK-25-08-03;2025-10-13;2025-11-12;EUR;115.946,26;7;8.116,24;124.062,50;24.812,50;99.250,00;"Unbeanstandet; Zahlung nicht eingegangen"
